store_url,product_name,product_price
http://www.10xathletic.com/collections/all,10X STIM - Apple Attack,£47.99
http://www.16arlington.co.uk/collections/all,Acro Trouser in Mohair Tailoring,"DA 106,700.00"
http://www.1822denim.com/collections/all,Tencel Crossover Waistband Skirt in Harrison,$49.00
